depth,age,upstream distance,,,,,surface elevation,,,,,thinning function,,,,,past accumulation rate,,,,
[m],[yr],[km],,,,,[m.a.s.l.],,,,,,,,,,[m/yr],,,,
,,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread
0,0,5.73012308901896,6.41497972220494,0.77074133003326,4.30528138041905,3.53454005038579,2691.60737048439,2695.05529784779,2654.90538244601,2680.52268359273,25.6173011467181,0.0914068485371107,0.0563552749014914,0.143359970811152,0.0970406980832512,0.0463192727279003,0.126569300918506,0.121867898946815,0.134245419407839,0.127560873091053,0.00668454631678543
1,5.37173147398451,6.12378314529767,6.69752731297676,1.37969621566946,4.73366889131463,3.35397267564517,2692.10871491939,2695.18544257589,2657.75028899541,2681.68148216357,23.9311931681551,0.0898142785620441,0.0550634246826816,0.141344093112474,0.0954072654523999,0.045936827660074,0.126347840107091,0.121701289804961,0.133930249681569,0.12732645986454,0.00660378981702847
2,7.60060580511187,6.51744320157638,6.98007490374857,1.98865110130565,5.1620564022102,3.17340530090455,2692.6100593544,2695.315587304,2660.59519554481,2682.8402807344,22.2450851895924,0.0882217085869776,0.0537715744638718,0.139328215413796,0.0937738328215485,0.0455543825922477,0.126127152930763,0.121535135593545,0.133616556345332,0.12709294828988,0.00652360805545204
3,10.213692678814,6.91110325785508,7.26262249452039,2.59760598694184,5.59044391310577,2.99283792616393,2693.1114037894,2695.44573203211,2663.44010209421,2683.99907930524,20.5589772110302,0.086629138611911,0.052479724245062,0.137312337715119,0.0921404001906972,0.0451719375244214,0.12590723534275,0.12136943445181,0.133304329049306,0.126860332947955,0.00644399610135047
4,12.8202592292714,7.30476331413379,7.5451700852922,3.20656087257804,6.01883142400134,2.8122705514233,2693.6127482244,2695.57587676021,2666.28500864361,2685.15787787607,18.872869232467,0.0850365686368444,0.0511878740262522,0.135296460016441,0.0905069675598458,0.044789492456595,0.125688083324453,0.121204184529132,0.132993557540179,0.126628608464588,0.00636494907559098
5,15.7879860548838,7.6984233704125,7.82771767606402,3.81551575821423,6.44721893489692,2.63170317668268,2694.11409265941,2695.70602148832,2669.12991519301,2686.31667644691,17.1867612539049,0.0834439986617778,0.0498960238074424,0.133280582317763,0.0888735349289945,0.0444070473887687,0.125469692885207,0.121039383984951,0.132684231660034,0.126397769510064,0.00628646214997021
6,18.7809560906341,8.09208342669121,8.11026526683584,4.42447064385043,6.87560644579249,2.45113580194206,2694.61543709441,2695.83616621643,2671.97482174241,2687.47547501775,15.5006532753429,0.0818514286867112,0.0486041735886326,0.131264704619086,0.0872401022981431,0.0440246023209424,0.125252060062031,0.120875030988706,0.132376341345238,0.126167810798658,0.00620853054657943
7,21.5460376196945,8.48574348296991,8.39281285760765,5.03342552948662,7.30399395668806,2.27056842720144,2695.11678152942,2695.96631094453,2674.8197282918,2688.63427358858,13.8145452967802,0.0802588587116446,0.0473123233698228,0.129248826920408,0.0856066696672918,0.043642157253116,0.125035180919395,0.120711123719764,0.132069876625349,0.125938727088169,0.00613114953717997
8,24.6147580958469,8.87940353924862,8.67536044837947,5.64238041512282,7.73238146758363,2.09000105246082,2695.61812596442,2696.09645567264,2677.6646348412,2689.79307215942,12.1284373182174,0.0786662887365781,0.046020473151013,0.12723294922173,0.0839732370364404,0.0432597121852897,0.124819051548978,0.120547660367353,0.131764827622046,0.125710513179459,0.0060543144425869
9,28.019788352544,9.27306359552733,8.95790803915128,6.25133530075901,8.16076897847921,1.9094336777202,2696.11947039942,2696.22660040075,2680.5095413906,2690.95187073026,10.4423293396548,0.0770737187615115,0.0447286229322032,0.125217071523052,0.0823398044055891,0.0428772671174634,0.124603668069436,0.120384639130497,0.13146118454806,0.125483163915998,0.00597802063206177
10,31.4331149669105,9.66672365180604,9.2404556299231,6.8602901863952,8.58915648937478,1.72886630297957,2696.62081483443,2696.35674512885,2683.35444794,2692.11066930109,8.75622136109283,0.0754811487864449,0.0434367727133934,0.123201193824375,0.0807063717747377,0.0424948220496371,0.124389026626171,0.120222058217949,0.131158937706132,0.125256674183418,0.00590226352271473
11,34.9907121778872,10.0603837080847,9.52300322069491,7.4692450720314,9.01754400027035,1.54829892823895,2697.12215926943,2696.48688985696,2686.1993544894,2693.26946787193,7.0701133825296,0.0732581158541185,0.0425962454683585,0.122846698330271,0.0795670198842492,0.0432796784460214,0.124090646993891,0.120116512449084,0.131105930720535,0.125104363387837,0.00600156733269819
12,38.6307034937884,10.4540437643635,9.80555081146673,8.07819995766759,9.44593151116592,1.36773155349833,2697.62350370443,2696.61703458507,2689.0442610388,2694.42826644277,5.38400540396693,0.0710350829217922,0.0417557182233236,0.122492202836166,0.0784276679937608,0.0440645348424057,0.123793695419305,0.120011151839883,0.131052966562449,0.124952604607212,0.00610036195523652
13,41.9107466116336,10.8477038206422,10.0880984022385,8.68715484330379,9.8743190220615,1.18716417875771,2698.12484813944,2696.74717931317,2691.8891675882,2695.5870650136,3.69789742540436,0.0688120499894658,0.0409151909782887,0.122137707342062,0.0772883161032723,0.04484939123879,0.123498161674772,0.119905975903531,0.131000045179991,0.124801394252764,0.00619865092722623
14,45.5464149030262,11.2413638769209,10.3706459930104,9.29610972893998,10.3027065329571,1.00659680401709,2698.62619257444,2696.87732404128,2694.7340741376,2696.74586358444,2.01178944684276,0.0665890170571395,0.0400746637332538,0.121783211847958,0.0761489642127838,0.0456342476351743,0.12320403563008,0.119800984154921,0.130947166521361,0.124650728768787,0.00629643775257343
